place,date,value,StringencyIndex_Average_ForDisplay
Residential,2020-06-04,118.28571428571429,35.19
Transit stations,2020-06-05,45.42857142857143,35.19
Workplaces,2020-06-05,53.142857142857146,35.19
Retail & recreation,2020-06-05,37.42857142857143,35.19
Grocery & pharmacy,2020-06-05,81.42857142857143,35.19
Residential,2020-06-05,118.28571428571429,35.19
Transit stations,2020-06-06,45.142857142857146,35.19
Workplaces,2020-06-06,53.42857142857143,35.19
Retail & recreation,2020-06-06,37.57142857142857,35.19
Grocery & pharmacy,2020-06-06,81.14285714285714,35.19
Residential,2020-06-06,118.42857142857143,35.19
Transit stations,2020-06-07,45,35.19
